Date,Hours,Value
2023-06-28 07:00:00,5,332
2023-06-28 07:00:00,6,335
2023-06-28 07:00:00,7,338
2023-06-28 07:00:00,8,366
2023-06-28 07:00:00,9,395
2023-06-28 07:00:00,10,345
2023-06-28 07:00:00,11,220
2023-06-28 07:00:00,12,101
2023-06-28 07:00:00,13,52
2023-06-28 07:00:00,14,30
2023-06-28 07:00:00,15,31
2023-06-28 07:00:00,16,49
2023-06-28 07:00:00,17,80
2023-06-28 07:00:00,18,171
2023-06-28 07:00:00,19,220
2023-06-28 07:00:00,20,302
2023-06-28 07:00:00,21,303
2023-06-28 07:00:00,22,313
2023-06-28 07:00:00,23,317
2023-06-29 07:00:00,0,319
2023-06-29 07:00:00,1,310
2023-06-29 07:00:00,2,336
2023-06-29 07:00:00,3,314
2023-06-29 07:00:00,4,321
2023-06-29 07:00:00,5,322
2023-06-29 07:00:00,6,326
2023-06-29 07:00:00,7,346
2023-06-29 07:00:00,8,352
2023-06-29 07:00:00,9,380
2023-06-29 07:00:00,10,347
2023-06-29 07:00:00,11,206
2023-06-29 07:00:00,12,79
2023-06-29 07:00:00,13,40
2023-06-29 07:00:00,14,34
2023-06-29 07:00:00,15,38
2023-06-29 07:00:00,16,38
2023-06-29 07:00:00,17,97
2023-06-29 07:00:00,18,162
2023-06-29 07:00:00,19,221
2023-06-29 07:00:00,20,287
2023-06-29 07:00:00,21,336
2023-06-29 07:00:00,22,314
2023-06-29 07:00:00,23,311
2023-06-30 07:00:00,0,336
2023-06-30 07:00:00,1,341
2023-06-30 07:00:00,2,332
2023-06-30 07:00:00,3,337
2023-06-30 07:00:00,4,317
2023-06-30 07:00:00,5,314
2023-06-30 07:00:00,6,328
2023-06-30 07:00:00,7,362
2023-06-30 07:00:00,8,382
2023-06-30 07:00:00,9,375
2023-06-30 07:00:00,10,376
2023-06-30 07:00:00,11,228
2023-06-30 07:00:00,12,98
2023-06-30 07:00:00,13,50
2023-06-30 07:00:00,14,35
2023-06-30 07:00:00,15,36
2023-06-30 07:00:00,16,52
2023-06-30 07:00:00,17,84
2023-06-30 07:00:00,18,147
2023-06-30 07:00:00,19,228
2023-06-30 07:00:00,20,293
2023-06-30 07:00:00,21,312
2023-06-30 07:00:00,22,324
2023-06-30 07:00:00,23,320
2023-07-01 07:00:00,0,319
2023-07-01 07:00:00,1,335
2023-07-01 07:00:00,2,351
2023-07-01 07:00:00,3,328
2023-07-01 07:00:00,4,316
2023-07-01 07:00:00,5,318
2023-07-01 07:00:00,6,317
2023-07-01 07:00:00,7,314
2023-07-01 07:00:00,8,350
2023-07-01 07:00:00,9,375
2023-07-01 07:00:00,10,365
2023-07-01 07:00:00,11,258
2023-07-01 07:00:00,12,113
2023-07-01 07:00:00,13,62
2023-07-01 07:00:00,14,33
2023-07-01 07:00:00,15,22
2023-07-01 07:00:00,16,34
2023-07-01 07:00:00,17,89
2023-07-01 07:00:00,18,147
2023-07-01 07:00:00,19,233
2023-07-01 07:00:00,20,268
2023-07-01 07:00:00,21,304
2023-07-01 07:00:00,22,295
2023-07-01 07:00:00,23,303
2023-07-02 07:00:00,0,324
2023-07-02 07:00:00,1,323
2023-07-02 07:00:00,2,323
2023-07-02 07:00:00,3,308
2023-07-02 07:00:00,4,315
2023-07-02 07:00:00,5,314
2023-07-02 07:00:00,6,342
2023-07-02 07:00:00,7,350
2023-07-02 07:00:00,8,349
2023-07-02 07:00:00,9,398
2023-07-02 07:00:00,10,332
2023-07-02 07:00:00,11,205
2023-07-02 07:00:00,12,86
2023-07-02 07:00:00,13,37
2023-07-02 07:00:00,14,35
2023-07-02 07:00:00,15,24
